ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,
233,_ONLINE - Monaghan County Council Local Authority Integration Team,"Monaghan County Council Integration Team providing signposting support to newly arrived migrants, IPA's, BOTPS and program refugees in the local area. We run weekly clinics in both accommodation centres and public spaces for people to access our support ","integration, information, support, help with forms, education advice, social welfare advice, medical card advice, employment advice, information clinics, work permit advice, voluntary return ",None,None ,Yes,www.monaghan.ie ,integration@monaghancoco.ie,047 73787,"Information & Advice, Wellbeing & Mental Health, Community & Family",Information & Advice,54.249,-6.968,Carrickmacross Workhouse Thursdays 11am-1pm Monaghan Library Peace Campus Wednesdays 1:30pm-3:30pm,
234,_ONLINE - Purp Unicorn,"Our organisation supports displaced migrants intergrations by up-skilling or re-skilling in Emerging Technologies and supports them landing their first job or paid internship within the Tech Industry. We run  different programmes per year in Tech Support, Cyber Security, Data Analytics, Web Development, AI & Machine Learning.","Finding work, up-skill, courses, tech jobs",None,None,Yes,www.purplunicorn.com,hello@purpunicorn.com,0838451975,"Information & Advice, Employment & Training",Employment & Training,52.446,-9.485,N/A,
235,_ONLINE - SaorEd,"SaorEd is a free online education platform for migrants, refugees, and international protection applicants in Ireland over 18 years old. Learners can access courses for English Language learning, IT skills, employment skills and workshops, and much more. The courses are compatible with mobile phones and low bandwidth. ","English classes, education, courses, language, IT, computer skills, job skills, CV, employment skills, free education, free courses, online education",None,None,Yes,www.saored.com,info@saored.com,0833015756,Education,Education,52.664,-8.627,N/A,
236,_ONLINE - Serve the City - Cairdeas Programme,"Cairdeas is a training, mentoring and integration programme available to international protection applicants in counties across Ireland. The over-arching aim of the programme is to promote social inclusion and cultural integration through training workshops, volunteering projects, mentoring and cultural tours.","Volunteering in Ireland, one-to-one mentoring online, cultural tours, intercultural events,  workshops, training ",None,None,No,www.servethecity.ie/volunteer/cairdeas,cairdeas@servethecity.ie,None,"Wellbeing & Mental Health, Mentoring, volunteering, cultural tours, soft skills training workshops",Multiple Services,53.350,-6.260,N/A,
237,_ONLINE - The Open Community ,"The Open Community is the national support organisation for Ireland’s Community Sponsorship Programme for Refugees. The Open Community provide access to a wide range of supports and resources, as well as a national peer support network for Community Sponsorship Groups.","Community Sponsorship, ",None,D2,Yes,www.theopencommunity.ie,info@theopencommunity.ie,None,"Information & Advice, Legal Advice, Training",Multiple Services,53.350,-6.260,N/A,
238,_ONLINE - The Open Doors Initiative,"The Open Doors Initiative has a dedicated programme to support migrants, refugees, and asylum seekers in accessing employment, further education, and self-employment. We are a group of over 120 member companies and non-profit partners, that work together to support individuals facing additional barriers to employment. ","Finding work, Business English classes, Job, Entrerpeneurship, Further Education, Mentorship",None,None,Yes,https://www.pathwaystoprogress.ie/,info@pathwaystoprogress.ie,None,"Information & Advice, Employment & Training, Education",Employment & Training,53.350,-6.260,N/A,
239,_ONLINE - TSLI: Training & Services Leading to Inclusion,"Employment preparation courses including CV Development, Online Profiles, Job Applications and Interview Practice. Includes interaction with employers and recruiters to develop job opportunities.",None,None,None,Yes,https://scoopfoundation.org/campaign/scoop-recruit/,info@createsound.ie,086 1296995,"Employment & Training, Education",Employment & Training,53.341,-6.284,N/A,
240,_ONLINE - United for Changes,"UNITED FOR CHANGES initiative is aimed at helping Ireland integrate temporary displaced Ukrainians into Irish society, with a particular focus on community development and enhancing professional growth. Please follow our page for more details and updates on upcoming webinars, events and activities.","Finding work, opening business, informational webinars",None,None,Yes,https://www.youtube.com/@unitedforchanges3876,debate4changes@gmail.com,None,"Information & Advice, Employment & Training",Employment & Training,53.350,-6.260,N/A,
245,_ONLINE - Waterford New Communities Network ,We are a non-profit voluntary organisation aiming to create an umbrella organisation for local migrant groups and individuals. Our goal is to foster a more inclusive and supportive environment by harnessing the strength of our diverse community for the benefit of all residents in County Waterford.,"Community, Migrant Forum, Friends, Training, Connections, Networking, Advice ",None,None,Yes,https://waterfordncn.ie/,contact@waterfordncn.ie,None,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,52.259,-7.110,N/A,
246,_ONLINE - Waterford New Communities Network ,We are a non-profit voluntary organisation aiming to create an umbrella organisation for local migrant groups and individuals. Our goal is to foster a more inclusive and supportive environment by harnessing the strength of our diverse community for the benefit of all residents in County Waterford.,"Community events, Connecting, Support with training, employment, business, arts projects, A Slice of Culture Festival, Car Boot Sales and Bazaars",None,None,Yes,https://waterfordncn.ie/,contact@waterfordncn.ie,None,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Community & Family,52.259,-7.110,N/A,
247,_ONLINE - Wizards of Ireland,"Integration assistance for migrants and refugees in Co.Laois. Workshops, activism, hiking and other interest groups, mental support, informational meetings and volunteer support.","work shops, help and motivation, volunteers support",Portarlington,R32W99E,Yes,https://www.facebook.com/wizardsireland,wizardsireland@gmail.com,+353834041367,Wellbeing & Mental Health,Public Awareness & Activism,53.132,-7.149,N/A,
248,Antrim - Belfast Unemployed Resource Centre,"Free English language classes, welfare advice and employability supports. ","English Language, welfare  advice, skills training","4-6 Donegall Street Place, Belfast",BT6 8NX,No,www.burc.org,esol@burc.org,+4428 9096 1111,"Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health",Multiple Services,54.585,-5.901,N/A,
249,Antrim - Building Communities Resource Centre,"BCRC builds communities under the themes of Community Development; Good Relations and Ethnic Communities.  Ethnic Communities project provides support to those from different ethnic backgrounds and focuses on raising awareness of various cultures.  We provide ESOL classes, well-being projects, support for victims of domestic violence and much more.","support for ethnic communities, ESOL classes, well-being projects, support for domestic violence victims, Crisis fund support, bi-lingual support, drop in service, outreach support for refugees and asylum seekers, development support for BAME communities, anti - hate crime, cultural ambassadors, shared education, Diversity Equity Inclusion training, Creative cultures, Homeland traditions and international Cafe ","22/23 Acorn Business Centre, Riada Avenue, Ballymoney BT53 7LH, Co Antrim",BT53 7LH,No,https://www.theresourcecentre.org/,gosia@theresourcecentre.org,07922020044,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Housing Support, Wellbeing & Mental Health, Community & Family, Youth Services, Public Awareness & Activsm",Multiple Services,55.066,-6.496,"Yes, Monday - Friday 9am - 5pm ",
250,Antrim - Conway Education Centre,"basic adult education, including English language courses and homework club for refugees and asylum-seeking families. Empowering communities through learning","English classes, homework support and study skills,, education (progression) advice, meeting people, ","5/7 Conway Street, Belfast BT13 2DE",BT13 2DE,No,www.conwayeducation.org,info@conwayeducation.org,02890 248543,"Education, Language Support, Wellbeing & Mental Health, Community & Family, Signposting to relevant organisation",Education,54.600,-5.951,"Drop-In English conversation for ladies on Friday mornings, 10am -11.30am",
251,Antrim - Diverse Youth NI,"Diverse Youth NI is a reputable non-profit organization dedicated to empowering young people and fostering positive change in society. We believe in the power of youth-driven initiatives to address pressing issues, and we are committed to making a difference in the mental health landscape in Belfast.","Youth work, Social Action, Activism","275A Antrim Road, Belfast",BT15 2GZ,No,www.diverseyouthni.com,info@diverseyouthni.com,02890138615,"Education, Youth Services, Public Awareness & Activsm",Youth Services,54.617,-5.938,"Mondays (9.30am  - 2.30pm) Tuesdays (9.30am - 2.30pm), Fridays (3pm - 8.30pm)",
252,Antrim - Education Authority,"Public body providing Asylum Seekers and Refugees with advice and information around accessing school places and educational supports including free school meals, uniforms and school transport applications.","finding school places, securing education support.","40 Academy Street, Belfast, BT1 2NQ",BT1 2NQ,No,www.eani.org.uk,ies@eani.org.uk,None,"Information & Advice, Education, Language Support, Community & Family, Youth Services",Education,54.604,-5.927,N/A,
253,Antrim - EmbraceNI,"EmbraceNI is a group of Christians working together to promote positive responses to people seeking asylum, refugees, migrant workers and people from minority ethnic backgrounds. Embrace seeks to equip the church to fulfil its call to welcome our new neighbours, by providing information, training, materials and channels for practical help.","Welcome, signposting, training","48 Elmwood Avenue, Belfast",BT9 6AZ,No,www.embraceni.org,info@embraceni.org,02890663145,Public Awareness & Activsm,Public Awareness & Activism,54.585,-5.940,N/A,
254,Antrim - Flourish NI,"Flourish NI provides long-term, trauma informed, tailored support to adult survivors of human trafficking and their immediate family living in Northern Ireland. Support includes one-to-one case work support, drop in advice clinic, therapies, group activities and courses. ","Case Work Support, Human Trafficking","Flourish NI, City East Business Centre, 68-72 Newtownards Road, Belfast, BT4 1GW",BT4 1GW,No,https://flourishni.org/,info@flourishni.org,02890 098828,"Information & Advice, Employment & Training, Education, Housing Support, Wellbeing & Mental Health, Community & Family",Multiple Services,54.601,-5.909,N/A,
255,Antrim - iAssist-Ni,"At IASSISTNI, we are committed to fostering a stronger, more connected, compassionate community in Belfast. As a befriending charity organization, our mission is to positively impact the lives of isolated and lonely individuals, enhancing their well-being and quality of life. ","Befriending, home support, companionship","92-94 York Road, Belfast",BT15 3HF,No,www.iassistni.com,israel@iassistni.com,07557885323,"Information & Advice, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Wellbeing & Mental Health,54.618,-5.924,"Yes. 10am - 3pm (Tuesday, Thursday, Friday)",
256,Antrim - Northern Ireland Refugees and Asylum Seekers Women Association (BOMOKO NI),"Bomoko NI is a unique organisation created by and for R & AS women living in NI. We emerge emerged in response to the needs of R & AS women in NI. We provide advice & advocacy services, Education and training, Employment opportunity, Mental Health and Wellbeing Awareness, Community engagement and integration.","We provide advice & advocacy services, Education and training, Employment opportunity, Mental Health and Wellbeing Awareness, Community engagement and integration.","3 Glengall Street, Glengall Exchange, BT12 5AB ",BT12 5AB,No,www.bomokoni.org,info@bomokoni.org.uk,00442896935919,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Housing Support, Wellbeing & Mental Health, Community & Family",Multiple Services,54.595,-5.936,"YES, 9.30am to 1pm drop-in, afternoon only by appointment",
257,Antrim - Rainbow Refugees NI,"A volunteer group that celebrates LGBTQIA+ people seeking sanctuary in Northern Ireland. We hold monthly confidential social events, foster mutual support between members and campaign for inclusion in both the LGBTQIA+ and refugee communities. We do not provide support services directly.","LGBTQIA+, refugee & asylum, social",Belfast ,None,No,www.rainbowrefugeesni.com,rainbowrefugeesni@gmail.com,None,"Community & Family, Public Awareness & Activsm, Social connection",Community & Family,54.597,-5.930,By appointment,
258,Antrim - Starling Collective,"Empowering and supporting the refugee and asylum community with a mental health partnership programme, a destitution programme, and offering support, advice and advocacy.","destitution, trauma, advice, mental health","129 University Street, Belfast,",BT7 1HP,No,http://starlingcollective.org.uk/,info@starlingcollective.org.uk,00 44 +28 90 135 531,"Health Services, Information & Advice, Housing Support, Wellbeing & Mental Health, Community & Family",Multiple Services,54.586,-5.928,N/A,
259,Antrim - The African and Caribbean Support Organisation of NI (ACSONI),We are a support organisation that aims to advocate for and empower the African and Caribbean diaspora in Northern Ireland. Our remit has expanded massively in the last year and we now support many people seeking asylum from a diverse range of nationalities through a number of clinics such as immigration & employabilitu advice & computer cafes,"Immigration clinic, housing support, language support, community dialogue,  employability support, digital access support, cultural events",9 Lower Crescent Belfast ,Bt7 1nr,No,https://www.acsoni.org/,keyworker@acsoni.org,07533221878,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Housing Support, Wellbeing & Mental Health, Community & Family, Youth Services, Legal Advice, Public Awareness & Activsm",Multiple Services,54.588,-5.933,"Generally monday-friday afternoons, we post any unavailability on social media ",
260,Cavan - Cavan County Council,"Local Authority Integration Teams (LAITs) promote integration by helping international protection applicants, refugees, and beneficiaries of temporary protection access services and supports. LAITs ensure individuals and families can fully engage with their communities and thrive in their new environment",None,"Farnham St, Cavan",H12 R6V2,No,www.cavancoco.ie,integration@cavancoco.ie,0494378300,"Information & Advice, Community & Family",Employment & Training,53.993,-7.362,N/A,
270,Clare - Clare Immigrant Support Centre,"Clare Immigrant Support Centre  aims to ensure access  state and community services and the upholding of all the rights and entitlements of all in the immigrant community. Clare Immigrant Support Centre also aims to support better outcomes for people in their engagement with and access to state agencies and authorities, ","Outreach, Drop In, Citizenship Passports, Support ",Unit 6  Clonroad Business Park Clonroad Ennis Co Clare V95 CV06,V95 CV06,No,www.clareimmigrantsupportcentre.ie ,ciscennis@gmail.com,0852671278   or  0656822026,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Multiple Services,52.844,-8.974,yes Tuesday and  Wednesday 10am to 1pm ,
280,Clare - Clare Local Authority Integration Team ,"(LAITs) promote integration from day one by helping international protection applicants, refugees, and beneficiaries of temporary protection access essential services and supports. ","Integration, Access, Welcoming Supportive, Help, Empowerment, Community, Informative ",Clare County Council HQ New Road Ennis Co Clare ,V95 DXP2,No,https://www.clarecoco.ie/services/integration/integration-supports/,integration@clarecoco.ie,0873936019,Information & Advice,Multiple Services,52.850,-8.976,N/A,
281,Clare - LAIT Team - Clare County Council,"The goal of LAITs is to help IP applicants and refugees become independent, settle into their new communities, and participate in Irish life. They do this by connecting people to important services that can help them integrate into the community. ","Advise where to get support for health, education or general needs","Clare County Council Offices, New Road, Ennis, Co Clare",NONE,No,https://clarecoco.ie/services/integration/integration-supports/,integration@clarecoco.ie,None,Information & Advice,Multiple Services,52.850,-8.976,N/A,
282,Clare - Limerick and Clare Education and Training Board College of Further Education and Training,Limerick and Clare Education and Training Board College of Further Education and Training offers hundreds of full-time and part-time Further Education and Training learning pathways at our multi-campus College of Further Education and Training across Limerick and Clare and over 300 other locations in the community.,"English classes, finding work, qualification recognition, learning supports, employment supports, interview skills, CV preparation","College of Further Education & Training, Ennnis Campus, Clonroad Business Park, Ennis, County Clare, V95 KT95",V95 KT95,No,https://collegeoffet.ie/,coursechoices@lcetb.ie,1800 707077,"Education, Language Support",Education,52.844,-8.974,coursechoices@lcetb.ie ,
283,Clare - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/ . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect.","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Ennis,None,No,https://sanctuaryrunners.ie/,info@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,52.847,-8.989,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
284,Clare - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/ . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect.","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Ennis,None,No,https://sanctuaryrunners.ie/,info@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,52.847,-8.989,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
285,Cork - Cork City Local Authority Integration Team (LAIT),"Local Authority Integration Teams (LAITs) promote integration from day one by helping international protection applicants, refugees, and beneficiaries of temporary protection access essential services and supports.","Integration, Access, Welcoming, Supportive, Help, Inclusive, Empowering, Practical, Caring, Community, Guidance, Informative, Holistic, Compassionate",Cork City,None,No,https://www.localgov.ie/national-programmes/local-authority-integration-teams,integration@corkcity.ie,0861757448/0862007798,Information & Advice,Multiple Services,51.899,-8.476,N/A,
286,Cork - Cork City Partnership,"Cork City Partnership is delivering the Social Inclusion and Community Activation Programme (SICAP) in Cork city providing targeted interventions to support integration of Ukrainian and New Communities. Job Supports, Education and Training, Personal Development Supports, Family Activities, Integration Events.","Job Supports, Education and Training, Personal Development Supports, Family Activities, Integration Events ","Heron House, Blackpool Retail Park, Blackpool, Cork ",T23 R50R,No,www.corkcitypartnership.ie,info@partnershipcork.ie,021 4302310,"Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family",Multiple Services,51.916,-8.472,N/A,
287,Cork - Cork County Council,"Local authority Integration Team, with Cork County Council. We provide ongoing integration supports, information, advice and guidance to individuals. Co-ordination- Linking individuals with mainstream and NGO services. Identify gaps in supports or services.","Local authoority, Integration , Information, signposting, guidance and advice.","Cork County Council, County Hall, Cork City",T12 R2NC,No,corkcoco.ie,integration@corkcoco.ie,0214285800,Information & Advice,Multiple Services,51.893,-8.508,N/A,
288,Cork - Cork Migrant Centre (CMC),"CMC is a psychosocial wellbeing & integration hub. It creates a safe space for migrant families, including, young people to build & enhance their capacities (physical, social, emotional, cognitive, cultural, knowledge and skills) by utilizing a strength-based approach which addresses their vulnerabilities & nurtures their resilience processes.","help with forms, English classes, visa information, activities for children and teenagers, anti-racism","Cork Migrant Centre, Nano Nagle Place, Evergreen Street, Cork, T12 XPX8.",T12 XPX8,No,https://corkmigrantcentre.ie/,cmc@nanonagleplace.ie,083 2081678,"Information & Advice, Language Support, Wellbeing & Mental Health, Community & Family, Youth Services, Public Awareness & Activsm",Multiple Services,51.893,-8.473,Yes. ,
289,Cork - Cork Volunteer Centre,"Cork Volunteer Centre supports anyone who would like to get involved as a volunteer in their communities. You can meet with our team, or join one of our information sessions to learn more. ","Volunteering, Volunteer, Community, Support, Integration, Festivals, Events","13 North Main Street, Cork City",T12 Y6W0,No,www.volunteercork.ie,info@volunteercork.ie,021 425 1572,"Information & Advice, Community & Family",Information & Advice,51.901,-8.479,"9am - 1pm , 2pm - 4pm Monday to Friday",
290,Cork - KASI - Killarney Immigrant Support Centre,"KASI IS AN NGO WORKING IN MILLSTREET, CO. CORK, PROVIDING SUPPORT SERVICES TO ASYLUM SEEKERS AND REFUGEES IN DRISHANE DIRECT PROVISION CENTRE",None,"Millstreet, Co. Cork",P51 X768,No,kasi.ie,info@kasi2000.com,06406620705,"Information & Advice, Community & Family, Youth Services",Information & Advice,52.078,-9.048,Tuesdays and Wednesdays,
291,"Cork - Local Authority Integration Team, Cork City Council ","Supporting community integration, including access PPSN, education, employment, volunteering opportunities, and more. We support  International Protection Applicants, people with Refugee status, Subsidiary Protection, Permission to Remain, Programme Refugees, Beneficiaries of Temporary Protection. In-person & online appointments available.","Integration, education support, help with social welfare forms, English classes, help with forms, help accessing legal aid","Cork City Council, Anglesea Street, T12 T997",T12 T997,No,www.corkcity.ie,integration@corkcity.ie,None,"Information & Advice, Employment & Training, Education, Language Support, Community & Family, Youth Services",Multiple Services,51.897,-8.466,By appointment,
292,Cork - Musical Neighbourhoods/The Kabin Studio,"We provide opportunities for people of all backgrounds to learn, play, and creative music.","Music education, community music, music technology,","The Kabin Studio, Harbour View Road, Knocknaheeny, Cork  T23 K237",T23 K237,No,https://www.thekabin.ie/,info@musicalneighbourhoods.ie,None,"Education, Wellbeing & Mental Health, Community & Family, Youth Services, We use music as a tool for social inclusion and overall wellbeing.",Multiple Services,51.916,-8.487,Yes,
293,"Cork - Nasc, the Migrant and Refugee Rights Centre","Nasc is the Irish word for ‘link’. As well as our Free Legal Service, Nasc also runs integration projects including our Connect Migrant Youth project, our New Beginnings: Children & Families project, our Gateway Women's project, EU Passworld project, Ukraine Information and Outreach Service and Community Sponsorship project.",None,"34 Paul Street, Cork City",T12 W14H,No,https://nascireland.org/,reception@nascireland.org,021 427 3594,"Information & Advice, Community & Family, Youth Services, Legal Advice, Public Awareness & Activsm, Linking migrants and refugees with opportunities for education, training, accommodation, community and employment.",Multiple Services,51.899,-8.475,N/A,
294,Cork - Places of Sanctuary/Schools of Sanctuary,"We aim to build a culture of welcome, inclusion and understanding for all refugees and asylum seekers coming to Ireland. We help create spaces where refugees and other newcomers can meet and build understanding with locals, through Schools, Universities and other Places of Sanctuary.","Welcoming refugees in schools, Universities, churches, libraries and communities",Cork,None,No,https://schools-ireland.cityofsanctuary.org/,schools@ireland.cityofsanctuary.org,None,"Employment & Training, Education, Language Support, Community & Family, Public Awareness & Activsm, Empowering and linking refugees and host communities",Education,51.899,-8.476,N/A,
295,Cork - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Cork,None,No,https://sanctuaryrunners.ie/,cork@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,51.899,-8.476,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
296,Cork - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Cork,None,No,https://sanctuaryrunners.ie/,cork@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,51.899,-8.476,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
297,Cork - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Cork,None,No,https://sanctuaryrunners.ie/,cork@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,51.899,-8.476,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
298,Cork - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Cork,None,No,https://sanctuaryrunners.ie/,cork@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,51.899,-8.476,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
299,Cork - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Cork,None,No,https://sanctuaryrunners.ie/,cork@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,51.899,-8.476,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
300,Cork - Together-Razem Centre,"Together-Razem is a migrant led organization which provides support services to the Eastern European migrants and refugees in Ireland. Our mission is to promote integration and equality, reduce marginalization, and to improve the quality of life of the Eastern European migrants.","Mental Health, English Classes, information advice, services for older people, ","Together Razem main HQ Unit 2A, Kilnap Business Park, Old Mallow Rd, Cork,",T23 V9K3,No,http://together-razem.org/en/,info@together-razem.org,021 439 55 88,"Health Services, Information & Advice, Employment & Training, Language Support, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Multiple Services,51.920,-8.477,N/A,
301,Derry - North West Migrants Forum,"The North West Migrants Forum is a community-based organisation dedicated to supporting, empowering, and integrating migrants into local communities. We provide a range of services including assistance with asylum applications, advocacy, education, health services, and legal support, all aimed at promoting social inclusion and community cohesion.","Asylum support, migrant services, integration assistance, community support, legal aid, housing assistance, education support, health services, social inclusion, community cohesion, refugee support, immigration help, welfare support, cultural integration, language assistance.","3rd Floor, Northern Counties Building,  Waterloo Place, Derry",BT48 6BU,No,nwmf.org.uk,info@nwmf.org.uk,02871362184,"Information & Advice, Wellbeing & Mental Health, Community & Family, Youth Services, Legal Advice, Public Awareness & Activsm, Advocacy, community integration and support, capacity building programmes.",Multiple Services,54.998,-7.321,9:30am - 5pm ,
302,Derry - North West Migrants Forum,"The North West Migrants Forum is a community-based organisation dedicated to supporting, empowering, and integrating migrants into local communities. We provide a range of services including assistance with asylum applications, advocacy, education, health services, and legal support, all aimed at promoting social inclusion and community cohesion.","Information, advice, signposting, support","3rd Floor, Northern Counties Building,  Waterloo Place, Derry",BT48 6BU,No,nwmf.org.uk,info@nwmf.org.uk,02871362184,"Information & Advice, Wellbeing & Mental Health, Community & Family, Youth Services, Legal Advice, Public Awareness & Activsm, Advocacy, community integration and support, capacity building programmes.",Multiple Services,54.998,-7.321,9:30am - 5pm ,
303,Donegal - Donegal Intercultural Platform,"Supports to International Protection Applicants, Migrant women, Refugee supports, English conversation classes, training and education projects, support for BME organisations, Migrant Youth Work","Visa help, Finding work, English classes, help with forms, social welfare assistance, leadership training, volunteering opportunities,","18/19 Academy Court, Oliver Plunkett Road, Letterkenny, Donegal, F92 D684",F92 D684,No,https://interculturaldonegal.org/,donegalip@gmail.com,0860841433 / 0749116075,"Information & Advice, Employment & Training, Language Support, Housing Support, Community & Family, Youth Services, Public Awareness & Activsm",Multiple Services,54.948,-7.737,"Yes. Tues, Weds, Thurs. 2-4pm.",
304,Dublin - Adult Education Service Blanchardstown DDLETB,"We offer educational courses from community to unecredited, QQI 2,3,4 and 5 to adults from Dublin 15 area.  ","English Classes, Guidance and Information, Healthcare, Childcare, Office Administration, IT skills, Literacy and Numeracy","Main Street, Dublin 15",D15T3KT,No,https://www.adulteducationblanchardstown.ie/,baes@ddletbaes.ie,01/8200952,"Information & Advice, Education, Language Support, Community & Family",Education,53.386,-6.375,Yes,
305,Dublin - Africa Solidarity Centre Ireland CLG (aka as Africa Centre),"We provide key support services to the African diaspora in Ireland. We also focus on promoting integration and social inclusion of the African diaspora in Ireland, contributing to & promoting African perspectives in development education, engaging the African diaspora on development in Ireland & in African countries, and research & policy dialogue.","Advocacy, representation, translation and interpretation services, help with forms, volunteering & internship opportunities, Employment Training & support, family support, referral services, legal support, etc",9C ABBEY STREET LOWER DUBLIN 1  D01 A3C4,D01 A3C4,No,www.africacentre.ie,info@africacentre.ie,0858635057 /018656951,"Information & Advice, Employment & Training, Wellbeing & Mental Health, Community & Family, Youth Services, Legal Advice, Public Awareness & Activsm",Multiple Services,53.349,-6.258,Thursdays - 10am - 5.30pm,
306,Dublin - AkiDwA,"Migrant Women's Advocacy Network and Service Provider. Working on ending violence against women and FGM, and increasing opportunities for migrant women in Ireland","women's aid, domestic violence, FGM, women's health education, can help with forms, workshops","Unit 2, Killarney Court, Upper Buckingham Street, Dublin 1, D01 X9X8",D01 X9X8,No,www.akidwa.ie,info@akidwa.ie,01 834 9851,"Health Services, Information & Advice, Education, Language Support, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Multiple Services,53.355,-6.250,Mon-Fri 9am-5pm,
307,Dublin - AkiDwA,"Migrant Women's Advocacy Network and Service Provider. Working on ending violence against women and FGM, and increasing opportunities for migrant women in Ireland","reproductive health, capacity building training, FGM, domestic violence,","Unit 2, Killarney Court, Upper Buckingham Street, Dublin 1, D01 X9X8",D01 X9X8,No,www.akidwa.ie,info@akidwa.ie,01 834 9851,"Health Services, Information & Advice, Education, Language Support, Wellbeing & Mental Health, Community & Family, Public Awareness & Activsm",Multiple Services,53.355,-6.250,Mon-Fri 9am-5pm,
308,Dublin - Arab Irish Intercultural Centre ,"The AIIC believes in integration through culture and Arts. We bridge between the Arab communities and the Irish through cultural and educational  activities. We provide information to Arab communities about Irish Life, we help with Interpreting and Translation. We also provide citizenship guidance and assistance. ","Arab, culture, citizenship ","12 Parliament St, Dublin 2",D2 ,No,Arabirish.ie ,info@arabirish.ie,0858679070,"Information & Advice, Language Support, Community & Family, Citizenship ",Multiple Services,53.345,-6.267,N/A,
